week,team,opponent,home,bye_prior_week,elo1_pre,elo_prob1,tot_dvoa,tot_dave,off_dvoa,def_dvoa,st_dvoa,opp_tot_dvoa,opp_tot_dave,opp_off_dvoa,opp_def_dvoa,opp_st_dvoa,net_tot_dvoa,net_tot_dave,net_off_dvoa,net_def_dvoa,net_st_dvoa,yards-per-play,opponent-yards-per-play,net-yards-per-play,points-per-game,opponent-points-per-game,net-points-per-game,team_score,opp_score,winner,total,margin
4,DET,DAL,0,0,1497.410078,0.380469667,-0.3,-0.12,-0.1,0.08,-0.12,-0.09,0.02,-0.1,-0.03,-0.03,-0.21,-0.14,0,0.11,-0.09,5.6,5.4,0.2,23.3,29.3,-6,24,26,0,50,-2
4,GB,BUF,1,0,1457.133693,0.527399899,-0.11,0.03,0.02,0.15,0.01,-0.57,-0.35,-0.48,0.09,0,0.46,0.38,0.5,0.06,0.01,5.4,6.1,-0.7,23.3,27.7,-4.4,22,0,1,22,22
4,HOU,IND,0,0,1363.161438,0.332067662,0.09,0.04,0,0,0.08,0,-0.01,-0.11,-0.07,0.04,0.09,0.05,0.11,0.07,0.04,6.1,5.6,0.5,19.7,24.7,-5,37,34,1,71,3
4,IND,HOU,1,0,1419.563792,0.667932338,0,-0.01,-0.11,-0.07,0.04,0.09,0.04,0,0,0.08,-0.09,-0.05,-0.11,-0.07,-0.04,4.5,5.3,-0.8,20,21,-1,34,37,0,71,-3
4,JAX,NYJ,1,0,1556.411243,0.743353602,0.18,0.03,0,-0.14,0.03,0.14,-0.02,-0.27,-0.28,0.13,0.04,0.05,0.27,0.14,-0.1,5.4,4.7,0.7,19,14.7,4.3,31,12,1,43,19
4,KC,DEN,0,0,1629.507735,0.653295184,0.42,0.13,0.51,0.27,0.18,0.02,-0.04,0.01,0,0.01,0.4,0.17,0.5,0.27,0.17,6.8,6.7,0.1,39.3,30.7,8.6,27,23,1,50,4
4,LAC,SF,1,0,1526.749777,0.679940603,0.02,0,0.3,0.15,-0.14,-0.2,-0.18,-0.05,0.14,-0.02,0.22,0.18,0.35,0.01,-0.12,6.9,6.3,0.6,27.3,31,-3.7,29,27,1,56,2
4,LAR,MIN,1,0,1595.419871,0.647349874,0.49,0.26,0.33,-0.15,0.02,-0.02,0.07,-0.07,-0.13,-0.09,0.51,0.19,0.4,-0.02,0.11,6.6,5.6,1,34,12,22,38,31,1,69,7
4,MIA,NE,0,0,1510.570146,0.304102665,0.43,0.11,0.17,-0.22,0.04,-0.13,0.08,-0.01,0.09,-0.04,0.56,0.03,0.18,-0.31,0.08,6.3,5.5,0.8,25,17.3,7.7,7,38,0,45,-31
4,MIN,LAR,0,0,1554.901861,0.352650126,-0.02,0.07,-0.07,-0.13,-0.09,0.49,0.26,0.33,-0.15,0.02,-0.51,-0.19,-0.4,0.02,-0.11,5.5,5,0.5,19.7,24,-4.3,31,38,0,69,-7
